game_pk,date,sp_fip_diff,sp_whip_diff,sp_k_rate_diff,sp_last5_fip_diff,bullpen_score_diff,ops_14d_diff,ops_vs_hand_diff,rpg_14d_diff,home_field,park_factor,home_won
823891,2026-03-29,-2.06,-0.3899999999999999,0.159,-1.7600000000000002,6.899999999999999,0.1859999999999999,-0.039,1.0,1,96,1
824215,2026-03-29,0.2599999999999998,-0.07,0.0769999999999999,-4.720000000000001,-2.5,-0.241,0.019,-1.67,1,100,1
823810,2026-03-29,0.3199999999999994,0.06,0.042,1.09,7.200000000000003,0.3139999999999999,-0.033,8.5,1,99,1
823079,2026-03-29,-2.66,-0.2200000000000002,0.049,-3.8,-15.300000000000004,0.029,-0.017,1.5,1,99,0
824700,2026-03-29,0.3399999999999998,-0.29,-0.013,1.4900000000000002,16.4,0.03,-0.061,1.0,1,100,0
823160,2026-03-29,-0.4599999999999995,-0.4099999999999999,0.0499999999999999,0.8499999999999996,-28.40000000000001,0.074,0.0659999999999999,0.3399999999999998,1,92,1
824135,2026-03-30,-2.44,-0.6599999999999999,0.131,-5.050000000000001,-27.200000000000003,-0.155,0.006,-1.67,1,104,1
824863,2026-03-30,0.2400000000000002,0.2199999999999999,-0.094,-0.75,0.3999999999999915,-0.0359999999999999,0.057,-1.66,1,100,0
824539,2026-03-30,0.0699999999999998,-0.08,0.0359999999999999,-0.92,-56.8,-0.0819999999999999,-0.058,-1.33,1,106,1
823484,2026-03-30,3.1500000000000004,0.9699999999999998,-0.083,4.98,33.7,-0.25,-0.0509999999999999,-2.0,1,102,0
823890,2026-03-30,2.38,0.52,-0.067,1.91,15.199999999999996,0.045,-0.024,0.0,1,96,0
822834,2026-03-30,-3.46,-0.4900000000000001,0.1689999999999999,-2.68,33.6,0.254,-0.027,3.0,1,101,0
824943,2026-03-30,-2.63,-0.7000000000000002,0.043,-2.6,21.5,0.277,-0.01,0.6600000000000001,1,101,1
824702,2026-03-30,-4.050000000000001,-1.2500000000000002,0.107,-5.53,31.200000000000003,-0.147,0.018,-0.5800000000000001,1,100,1
823809,2026-03-30,-0.52,-0.0599999999999998,0.153,-1.2100000000000004,20.6,0.1689999999999999,0.067,2.0,1,99,0
823080,2026-03-30,1.4500000000000002,0.49,-0.03,2.0700000000000003,-6.900000000000006,0.0769999999999999,0.0559999999999999,1.33,1,99,0
824214,2026-03-30,2.2300000000000004,0.3600000000000001,0.005,3.35,-30.5,-0.041,0.0569999999999999,2.17,1,100,1
823320,2026-03-30,0.4899999999999997,0.05,-0.06,-1.71,21.10000000000001,0.159,-0.0749999999999999,2.0,1,95,0
823159,2026-03-30,-0.1800000000000006,0.2099999999999999,-0.048,-2.2,0.7000000000000028,0.101,-0.1159999999999999,1.17,1,92,1
825108,2026-03-30,-4.8100000000000005,-1.11,0.187,-7.299999999999999,13.0,-0.018,-0.0549999999999999,-1.66,1,103,1
823972,2026-03-30,1.37,0.24,-0.019,-0.6699999999999999,8.899999999999991,0.142,0.0609999999999999,2.08,1,98,0
824861,2026-03-31,0.8899999999999997,0.6499999999999999,0.12,0.1,-15.199999999999996,-0.0609999999999999,0.057,-2.0,1,100,0
824537,2026-03-31,1.5300000000000002,0.26,-0.078,0.5700000000000003,-12.700000000000005,-0.04,0.0179999999999999,-0.5,1,106,0
823485,2026-03-31,-0.5799999999999992,0.1100000000000001,0.0169999999999999,1.52,33.7,-0.259,-0.0509999999999999,-4.25,1,102,1
823888,2026-03-31,-1.739999999999999,-0.1099999999999998,0.017,0.1900000000000004,-0.7000000000000028,0.037,-0.024,-1.25,1,96,1
822836,2026-03-31,3.46,0.4599999999999999,-0.0369999999999999,7.4,34.2,0.1,-0.027,0.0,1,101,1
824942,2026-03-31,-2.74,0.6100000000000001,0.107,-0.4699999999999997,21.5,0.298,-0.016,1.5,1,101,0
824699,2026-03-31,2.43,0.07,-0.05,3.3200000000000003,12.9,-0.045,0.018,0.5999999999999996,1,100,0
823807,2026-03-31,1.1999999999999995,-0.1399999999999999,-0.039,-0.4199999999999999,0.2000000000000028,0.0969999999999999,-0.045,1.25,1,99,1
823077,2026-03-31,-2.579999999999999,-0.6799999999999999,-0.0519999999999999,-6.460000000000001,-10.299999999999995,-0.004,0.0559999999999999,0.5,1,99,1
824212,2026-03-31,-3.29,-0.5599999999999998,0.206,-9.73,-6.299999999999997,0.134,0.0419999999999999,3.25,1,100,1
825107,2026-03-31,3.03,0.53,-0.084,3.88,14.199999999999996,0.058,-0.0549999999999999,-0.5,1,103,1
823322,2026-03-31,3.6600000000000006,0.3,-0.063,3.2,17.60000000000001,0.071,-0.0749999999999999,1.25,1,95,0
823158,2026-03-31,1.3200000000000005,0.07,0.047,0.8799999999999999,1.5,0.1059999999999999,-0.1159999999999999,1.2999999999999998,1,92,0
823969,2026-03-31,-2.03,-0.3399999999999999,0.071,-2.52,10.299999999999995,0.0949999999999999,0.126,1.1,1,98,1
824940,2026-04-01,-1.6499999999999997,-0.4199999999999999,0.0479999999999999,-2.08,28.700000000000003,0.2039999999999999,-0.016,0.5999999999999996,1,101,1
824860,2026-04-01,-0.2000000000000001,0.28,-0.063,-0.6300000000000008,6.700000000000003,-0.122,0.043,-2.2,1,100,1
824536,2026-04-01,2.1,0.4799999999999998,-0.1349999999999999,1.2699999999999996,-24.1,-0.0579999999999999,0.0179999999999999,-1.4000000000000004,1,106,0
823483,2026-04-01,-1.27,-0.2999999999999998,0.0469999999999999,-1.4700000000000002,37.8,-0.179,-0.098,-3.2,1,102,1
822835,2026-04-01,-2.41,-0.6699999999999999,0.07,-4.05,46.2,0.1339999999999999,-0.0989999999999999,0.7999999999999998,1,101,0
823889,2026-04-01,-1.4799999999999995,-1.3,-0.048,-2.7200000000000006,-4.700000000000003,0.1089999999999999,-0.024,0.3999999999999994,1,96,1
823078,2026-04-01,0.9300000000000006,0.1999999999999999,-0.015,0.2999999999999998,-13.9,0.0479999999999999,0.0699999999999999,1.0,1,99,1
823806,2026-04-01,-1.34,-0.14,0.125,-1.5300000000000002,6.200000000000003,0.0899999999999999,0.02,1.8000000000000007,1,99,1
824211,2026-04-01,1.3900000000000006,0.1100000000000001,-0.082,0.0899999999999998,-9.700000000000005,0.1999999999999999,0.0569999999999999,3.9,1,100,1
824698,2026-04-01,-1.33,-0.29,0.0779999999999999,-0.2599999999999998,8.899999999999999,-0.0679999999999999,0.018,-0.0300000000000002,1,100,1
825106,2026-04-01,2.61,0.55,-0.114,3.4000000000000004,-7.299999999999997,0.127,0.044,0.0,1,103,1
823321,2026-04-01,-4.109999999999999,-0.4500000000000002,0.206,-3.08,7.100000000000001,-0.0789999999999999,-0.0749999999999999,-0.2000000000000001,1,95,1
823157,2026-04-01,1.0900000000000003,0.4,-0.066,2.13,-3.5,0.031,-0.003,0.2000000000000001,1,92,0
824136,2026-04-01,0.6000000000000001,0.2099999999999999,-0.06,-0.5499999999999998,-5.800000000000004,-0.052,0.006,-0.75,1,104,1
823970,2026-04-01,-0.4199999999999999,-0.2600000000000001,-0.0389999999999999,-1.35,7.599999999999994,0.139,0.126,1.4000000000000004,1,98,0
824133,2026-04-02,1.9800000000000004,0.0799999999999998,0.0409999999999999,-0.6799999999999997,-8.5,0.0499999999999999,0.006,0.2000000000000001,1,104,0
825105,2026-04-02,0.4500000000000002,-0.2299999999999999,-0.03,0.7400000000000002,-5.400000000000006,-0.018,-0.0839999999999999,0.1699999999999999,1,103,0
823242,2026-04-02,1.4899999999999998,-0.24,0.0159999999999999,0.54,-7.400000000000006,-0.0899999999999999,0.0569999999999999,-1.5,1,95,1
822758,2026-04-03,1.0099999999999998,0.05,-0.124,2.54,-39.2,0.084,-0.076,2.5,1,100,0
824299,2026-04-03,0.0699999999999994,0.24,0.0149999999999999,-0.4500000000000002,24.700000000000003,-0.07,0.001,-0.8300000000000001,1,98,1
823568,2026-04-03,-1.33,0.03,-0.028,-1.09,2.0,-0.1859999999999999,0.049,-1.5,1,99,1
824786,2026-04-03,-0.6800000000000002,0.02,-0.0159999999999999,-3.54,-0.2000000000000028,0.071,0.028,-0.3399999999999998,1,107,1
824621,2026-04-03,-0.6599999999999999,-0.1499999999999999,-0.012,-2.58,-16.700000000000003,-0.145,0.001,-1.0,1,99,1
